user,product,images,content,score,total,like,dislike
이예*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/98/95/image1/thumbnail_0ac05dc2bc3a7b79.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/98/95/image1/thumbnail_0ac05dc2bc3a7b79.jpg']",색깔 어쩔 분위기어쩔ㅜㅜ 너무예뻐요.,- 아주 좋아요,0,0,0
강다*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],얼루어 립스틱을 사용하고 있는데 틴트제품이 궁금해서 샀어요. 근데 립스팁만큼 좋은거같아요 발림성도 좋구요ㅠㅠㅠㅜ,- 아주 좋아요,0,0,0
강민*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/98/65/image1/thumbnail_523ed18c73859870.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/98/65/image1/thumbnail_523ed18c73859870.jpg']","힌스 디자인에 반해서 리뷰 찾아보다가 한번 사봤어요.원체 쨍한 색감은 안받는 편이라 얼루어먼트 구매했고, 생각대로 너무 예쁜 색상이에요. 단품으로 발라도 예쁘고, 다른 색상이랑 섞어서 발라도 무난하게 섞여드는 색상이라 활용 잘 할 것 같네요.디자인은 말할 것 없이 곡선, 색감 다 마음에 들고, 패키징도 예뻐서 박스를 못 버리고 있네요.예쁘게 잘 사용하겠습니다:-)",- 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],패키지도 사용감도 항상 만족감을 주는 힌스(2020-08-16 23:51:41 에 등록된 네이버 페이 구매평),- 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],발림성도 가볍고 색도 붉지않고 은은해서 좋아요.(2020-08-13 15:04:12 에 등록된 네이버 페이 구매평),- 아주 좋아요,0,0,0
이예*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/98/95/image1/thumbnail_0ac05dc2bc3a7b79.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/98/95/image1/thumbnail_0ac05dc2bc3a7b79.jpg']",색깔 어쩔 분위기어쩔ㅜㅜ 너무예뻐요., 아주 좋아요,0,0,0
강다*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],얼루어 립스틱을 사용하고 있는데 틴트제품이 궁금해서 샀어요. 근데 립스팁만큼 좋은거같아요 발림성도 좋구요ㅠㅠㅠㅜ, 아주 좋아요,0,0,0
강민*,무드인핸서 리퀴드 마뜨 얼루어먼트,"['http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/98/65/image1/thumbnail_523ed18c73859870.jpg', 'http://assets6.cre.ma/p/hince-co-kr/reviews/00/00/01/98/65/image1/thumbnail_523ed18c73859870.jpg']","힌스 디자인에 반해서 리뷰 찾아보다가 한번 사봤어요.원체 쨍한 색감은 안받는 편이라 얼루어먼트 구매했고, 생각대로 너무 예쁜 색상이에요. 단품으로 발라도 예쁘고, 다른 색상이랑 섞어서 발라도 무난하게 섞여드는 색상이라 활용 잘 할 것 같네요.디자인은 말할 것 없이 곡선, 색감 다 마음에 들고, 패키징도 예뻐서 박스를 못 버리고 있네요.예쁘게 잘 사용하겠습니다:-)", 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],패키지도 사용감도 항상 만족감을 주는 힌스(2020-08-16 23:51:41 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],발림성도 가볍고 색도 붉지않고 은은해서 좋아요.(2020-08-13 15:04:12 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
이정*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],"전 생각했던 색이랑 좀 달라요 ㅠㅠ더 누드 톤이네요지속력은 보통이고, 매트하다 보니까 각질 관리해도 주름이 너무 부각되네요 ㅠㅠ립스틱이 더 나은듯", 아주 좋아요,0,0,0
네이버 페이 구매*,무드인핸서 리퀴드 마뜨 얼루어먼트,[],섀도우 색감 너무 이뻐요!!!!!!!!!발림도 너무 마음에 들도 전체적으로 다 만족입ㄴ다(2020-08-09 13:06:33 에 등록된 네이버 페이 구매평), 아주 좋아요,0,0,0
