name,address,business_day,opening_hour,contact
롯데면세점 소공점,서울시 중구 소공동 1 롯데백화점 본점 롯데면세점 9층 블루밍뷰티,[],['09:30~21:00'],02-759-6548
롯데면세점 제주점,제주 제주시 도령로83번지 롯데시티호텔내 롯데면세점 3층,[],['09:30~19:00'],064-793-3248
롯데면세점 코엑스점,서울시 강남구 봉은사로 524 인터컨티넨탈 서울코엑스 지하2층 롯데면세점 힌스,[],['09:00~20:30'],02-3484-9637
시코르 가로수길점,"서울시 강남구 신사동 515-8, 1층",['연중무휴'],['10:30~22:30'],02-3484-9637
시코르 강남점,서울 서초구 신반포로 176 센트럴시티빌딩 지하 1F,[],['10:30~22:00'],02-2150-2393~4
시코르 강남역점,서울 서초구 강남대로 441 서산빌딩 B1F~2F,[],['10:30~22:30'],02-3495-7600
시코르 경기점,경기도 용인시 수지구 포은대로 536 신세계백화점 4F,[],['11:00~20:30'],031-695-1533
시코르 고양점,경기 고양시 덕양구 고양대로 1955 스타필드 고양점 2층,[],['10:00~22:00'],031-5173-1555
시코르 광양점,전남 광양시 광양읍 순광로 466 LF스퀘어 1층,[],['11:00~21:00'],061-815-4686
시코르 광주점,광주 서구 무진대로 932 광주신세계 패션스트리트 지하1층,"['2, 4주 일요일']",['13:00~21:00', '13:00~20:30'],062-360-1023
시코르 김해점,경상남도 김해시 김해대로 2232 신세계백화점김해점 1F,"['평일', '금~일']",['11:00~20:00', '11:00~22:30'],055-272-1170
시코르 대구 동성로점,대구광역시 중구 동성로 2길 45 1F,[],['10:30~22:30'],053-431-0901
시코르 대구 신세계 백화점,대구 동구 동부로 149 신세계백화점 대구점 1F,"['평일', '주말']",['11:00~22:30', '11:00~20:30'],053-661-1879
시코르 대전 둔산점,대전광역시 서구 둔산로29 1F,"['평일', '주말']",['10:00~22:00', '11:00~22:00'],042-489-8292~3
시코르 마산점,"경남 창원시 마산합포구 합포로 251, 신세계백화점 마산점 1F","['월~목', '금~일 및 공휴일']",['11:00~20:00', '11:00~20:30'],055-240-1219
시코르 명동점,서울시 중구 명동길 17,['매일'],"['09:30~23:00']",02-779-9490
시코르 부산서면점,부산 부산진구 중앙대로 686,"['매일', '연중무휴']","['10:30~22:30']",055-272-1170
시코르 센텀시티점,부산 해운대구 센텀4로 15 신세계센텀시티몰 지하 2층,"['평일', '주말']","['11:00~20:00', '11:00~20:30']",051-745-2020
시코르 스퀘어원 인천점,"인천광역시 연수구 청능대로 210, 스퀘어원 3F",[],"['10:30~22:00']",032-456-4301
시코르 스타필드 코엑스점,서울 강남구 영동대로 513 스타필드 코엑스 D109,[],"['10:30~20:00']",02-6002-3550
시코르 신세계 본점,서울특별시 중구 퇴계로 77 신세계백화점 본점 신관 4층,['주말'],"['10:30~20:30']",02-310-1456
시코르 아이파크몰 용산점,서울 용산구 한강대로23길 55 아이파크몰 3F,"['평일', '주말']","['10:30~20:30'. '10:00~21:00']",02-2012-4350
시코르 엔터식스 안양점,경기도 안양시 만안구 만안로 232 엔터식스 안양역 2F,"['월~목', '금~일 및 휴일 전날']","['10:30~21:30', '10:30~22:00']",031-5177-6203
시코르 충청 신세계백화점,"천안시 동남구 신부동 만남로43, 신세계백화점 충청점 B관 2층","['평일', '금~토', '일공휴일']","['10:30~20:00', '10:30~20:30']",02-2012-4350
시코르 하남점,경기도 하남시 미사대로 750번지 신세계백화점 스타필드 하남점 1F,"['백화점 정기휴무일 휴점']","['11:00~21:00']",031-8072-1735
시코르 홍대점,서울특별시 마포구 양화로 147 아일렉스 1층,['연중무휴'],"['10:30~22:30']",031-8072-1735
시코르 AK&홍대점,"서울시 마포구 와우산로 35길 50-4, 1F",[],"['11:00~22:00']",02-789-9810~1
시코르 AK플라자 원주점,강원 원주시 봉화로 1 AK플라자 1F,"['월~목', '금~일 및 공휴일']","['11:00~22:00', '10:30~20:30']",033-811-5550
시코르 마리오아울렛 가산점,"서울시 금천구 벚꽃로 266, 마리오 아울렛 3관","['월~일']","['10:30~20:30']",02-2067-2460
롯데백화점 본점,서울특별시 중구 남대문로 81(소공동 1) 롯데백화점 2층,"['월~금', '토~일']","['10:30~20:00', '10:30~20:30']",02-772-3254
